"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","minuslog10padj","diffexp"
"REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING","REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING","36/1608","100/9710",0.36,2.17388059701493,5.25649655050006,1.85191839754522e-06,0.00020421609238385,0.000168356217958656,"FN1/BCL2L1/BCL6/ANXA1/MAOA/STAT3/ITGB1/IL13RA1/CXCL8/JAK1/LAMA5/SOCS3/VIM/LIF/ICAM1/CDKN1A/TIMP1/HIF1A/PIK3R1/HSP90B1/STAT1/TWIST1/FOXO3/CCND1/RHOU/ALOX5/ZEB1/SOCS5/FOXO1/JAK3/MCL1/PTGS2/IL18/TNFRSF1B/ITGAX/JAK2",36,3.68991003816421,"Healthy"
"REACTOME_GLYCOSAMINOGLYCAN_METABOLISM","REACTOME_GLYCOSAMINOGLYCAN_METABOLISM","40/1608","119/9710",0.336134453781513,2.02976713073289,5.03517667725937,3.72513438132891e-06,0.000352117778416868,0.000290286709329652,"VCAN/HSPG2/SDC4/CEMIP/CD44/GNS/PAPSS2/XYLT1/GLCE/IDS/HAS2/HEXB/GPC4/B3GNT2/CHSY3/PAPSS1/B4GALT6/HPSE/B4GALT5/CHST15/GLB1/UST/GPC3/SDC3/CHST11/HS3ST1/EXT1/CHST1/CSGALNACT2/HS3ST3B1/CHPF/CHP1/CHST6/HYAL2/ST3GAL1/CHST2/HYAL1/EXT2/SLC35D2/CHSY1",40,3.45331204685989,"Healthy"
"REACTOME_SIGNALING_BY_MET","REACTOME_SIGNALING_BY_MET","30/1608","79/9710",0.379746835443038,2.29312299263178,5.14105016216673,3.77372722128547e-06,0.000352117778416868,0.000290286709329652,"FN1/TNS4/ITGA3/STAT3/ITGB1/LAMB1/PTPRJ/MET/LAMA5/CBL/NRAS/SH3KBP1/TNS3/LAMB3/LAMC2/PIK3R1/SHC1/LRIG1/SPINT2/KRAS/LAMB2/CRK/RAP1A/GAB1/LAMC1/EPS15/LAMA3/PTPN1/SH3GL3/RAB4A",30,3.45331204685989,"Healthy"
"REACTOME_LAMININ_INTERACTIONS","REACTOME_LAMININ_INTERACTIONS","16/1608","30/9710",0.533333333333333,3.22056384742952,5.42650699166464,4.20657655330816e-06,0.000364469811368771,0.000300469753807726,"HSPG2/ITGB4/ITGA6/ITGA3/ITGB1/LAMB1/LAMA5/LAMB3/LAMC2/ITGA7/LAMB2/ITGAV/LAMC1/LAMA3/COL18A1/COL4A5",16,3.43833843798776,"Healthy"
"REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_CELL_CYCLE_GENES","REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_CELL_CYCLE_GENES","11/1608","16/9710",0.6875,4.15150808457711,5.6203202477585,4.82176804497536e-06,0.000389920309237008,0.000321451202998357,"BTG1/KLF4/CAV1/CDKN1A/FOXO3/GADD45A/RBL2/CCNG2/FOXO1/SMAD2/SMAD3",11,3.40902414373005,"Healthy"
"REACTOME_INTERFERON_GAMMA_SIGNALING","REACTOME_INTERFERON_GAMMA_SIGNALING","32/1608","90/9710",0.355555555555556,2.14704256495301,4.87020683905583,9.21708817134397e-06,0.000698770496990015,0.000576068010708998,"TRIM2/B2M/CD44/HLA-E/HLA-F/JAK1/SOCS3/ICAM1/IRF7/IRF6/OAS1/HLA-DRA/STAT1/MAPK1/GBP2/HLA-B/TRIM5/PTPN1/HLA-DPB1/IRF2/HLA-DRB1/IFNGR1/TRIM34/TRIM6/HLA-DPA1/SMAD7/TRIM10/MT2A/TRIM21/IRF9/JAK2/MID1",32,3.15566543978659,"Healthy"
"REACTOME_CELL_EXTRACELLULAR_MATRIX_INTERACTIONS","REACTOME_CELL_EXTRACELLULAR_MATRIX_INTERACTIONS","11/1608","18/9710",0.611111111111111,3.69022940851299,5.08924102074186,2.53859627167892e-05,0.00181136310443914,0.00149329192451701,"ITGB1/PXN/RSU1/FERMT2/FLNA/VASP/ARHGEF6/LIMS2/PARVA/FLNC/ACTG1",11,2.74199448262488,"Healthy"
"REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS","REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS","35/1608","108/9710",0.324074074074074,1.9569398378478,4.4550216108075,3.58329925097423e-05,0.00241474555079541,0.0019907218060968,"BMP4/FN1/VCAN/IGFBP3/SERPINA1/LGALS1/IGFBP6/FSTL1/LAMB1/NOTUM/PRSS23/ADAM10/CALU/QSOX1/APP/TIMP1/DNAJC3/LTBP1/HSP90B1/IGF2/GPC3/LAMB2/IGFBP5/FSTL3/LAMC1/P4HB/CST3/NUCB1/PCSK9/MGAT4A/APLP2/FAM20C/CKAP4/C3/F5",35,2.61712862545385,"Healthy"
"REACTOME_CELL_JUNCTION_ORGANIZATION","REACTOME_CELL_JUNCTION_ORGANIZATION","33/1608","100/9710",0.33,1.99272388059702,4.44529849733166,3.94071927211385e-05,0.00251583814582848,0.00207406277479676,"ADAM19/ITGB4/ITGA6/CLDN2/ANGPTL4/ITGB1/AMOT/PXN/CDH3/RSU1/FERMT2/LAMB3/FLNA/LAMC2/CTNNB1/VASP/CTNNA1/CLDN12/CLDN4/PLEC/NECTIN2/AGO2/ARHGEF6/LIMS2/LAMA3/SNAI1/PARVA/ANG/AGO3/FLNC/ACTG1/CDH1/AGO4",33,2.59931730227073,"Healthy"
"REACTOME_SIGNALING_BY_EGFR","REACTOME_SIGNALING_BY_EGFR","21/1608","53/9710",0.39622641509434,2.39263587721769,4.52885641415739,5.0882839059097e-05,0.00308604418893424,0.00254414195295485,"AREG/TGFA/EREG/EGFR/PXN/ADAM10/CBL/NRAS/PAG1/SH3KBP1/PTPRK/PIK3R1/SHC1/LRIG1/KRAS/GAB1/EPS15/SPRY2/SH3GL3/CDC42/PTPN12",21,2.51059785958431,"Healthy"
"REACTOME_NEPHRIN_FAMILY_INTERACTIONS","REACTOME_NEPHRIN_FAMILY_INTERACTIONS","12/1608","23/9710",0.521739130434783,3.1505515898767,4.59995186169319,9.16683814141439e-05,0.00529494031692174,0.00436516101972114,"ACTN4/CASK/PIK3R1/IQGAP1/SPTBN1/SPTAN1/FYN/NCK2/NPHS1/PIK3CB/KIRREL1/ACTN2",12,2.27613893077418,"Healthy"
"REACTOME_SIGNALING_BY_HIPPO","REACTOME_SIGNALING_BY_HIPPO","11/1608","20/9710",0.55,3.32120646766169,4.62914766575685,9.69106792250204e-05,0.00534330244999771,0.00440503087386456,"WWTR1/AMOT/AMOTL2/STK3/LATS2/TJP1/SAV1/YAP1/WWC1/AMOTL1/MOB1B",11,2.27219024250295,"Healthy"
"REACTOME_REGULATION_OF_INSULIN_SECRETION","REACTOME_REGULATION_OF_INSULIN_SECRETION","25/1608","72/9710",0.347222222222222,2.09672125483693,4.16105255333622,0.000132983128234377,0.00701341454557824,0.00578187514062509,"SLC2A1/ACSL4/ITPR2/PRKCA/AHCYL1/CACNA2D2/STXBP1/GNAQ/GNAI2/PRKAR2B/PRKAR1A/ADCY6/IQGAP1/RAP1A/CACNB3/GNG7/KCNS3/KCNB1/ACSL3/SNAP25/STX1A/ITPR1/GNG2/GNB1/GNG12",25,2.15407049027043,"Healthy"
"REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX","REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX","30/1608","93/9710",0.32258064516129,1.94792168191302,4.09193076250771,0.000138905589924937,0.00702052002412288,0.00578773291353906,"FKBP1A/WWTR1/SERPINE1/SMURF2/TGFBR2/ITGB1/FURIN/CBL/ITGB8/LTBP1/LTBP3/CGN/ITGB3/STAT1/MAPK1/PPM1A/ITGAV/CDKN2B/TGFBR3/ITGB5/TGIF1/USP9X/BAMBI/NCOR2/NEDD4L/SMAD2/SMAD7/RHOA/SMAD3/HDAC1",30,2.15363071760773,"Healthy"
"REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION","REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION","22/1608","61/9710",0.360655737704918,2.1778403066634,4.11097021085537,0.000176812451745504,0.00827139074595248,0.00681895362403337,"DUSP4/DUSP6/F3/RPS6KA2/TRIB1/FOSL1/TCF12/ATF2/SGK1/DUSP3/ARC/ID1/NAB1/MAPK1/MEF2D/ID2/ID3/MEF2A/EGR2/SH3GL3/EGR3/RPS6KA3",22,2.08242146233227,"Healthy"
"REACTOME_DOWNREGULATION_OF_SMAD2_3_SMAD4_TRANSCRIPTIONAL_ACTIVITY","REACTOME_DOWNREGULATION_OF_SMAD2_3_SMAD4_TRANSCRIPTIONAL_ACTIVITY","14/1608","31/9710",0.451612903225806,2.72709035467822,4.29056824410395,0.000177292794224868,0.00827139074595248,0.00681895362403337,"WWTR1/SERPINE1/SMURF2/STAT1/MAPK1/PPM1A/TGIF1/USP9X/NCOR2/NEDD4L/SMAD2/SMAD7/SMAD3/HDAC1",14,2.08242146233227,"Healthy"
"REACTOME_ELASTIC_FIBRE_FORMATION","REACTOME_ELASTIC_FIBRE_FORMATION","17/1608","42/9710",0.404761904761905,2.44417791992419,4.17841121437125,0.000192234910546825,0.00848426759969415,0.00699444979364728,"BMP4/FN1/LOXL2/ITGB1/FURIN/ITGB8/FBLN1/LTBP1/LTBP3/ITGB3/ITGA5/LOXL4/ITGAV/ITGB5/BMP7/FBLN5/FBLN2",17,2.07138564198978,"Healthy"
"REACTOME_L1CAM_INTERACTIONS","REACTOME_L1CAM_INTERACTIONS","34/1608","112/9710",0.303571428571429,1.83313343994314,3.9506391046696,0.000195844594222124,0.00848426759969415,0.00699444979364728,"EZR/CNTN1/ALCAM/L1CAM/RPS6KA2/DPYSL2/ITGB1/SDCBP/MSN/LAMB1/EGFR/SPTB/SCN4A/DNM3/KCNQ3/ITGA9/ITGB3/NRP1/ITGA5/NRP2/MAPK1/SCN4B/SPTBN1/ITGAV/LAMC1/SPTAN1/SCN5A/ACTG1/MAP2K1/TUBA1A/CLTC/NFASC/RPS6KA3/ITGA10",34,2.07138564198978,"Healthy"
"REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS","REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS","18/1608","46/9710",0.391304347826087,2.36291369240753,4.12765093694508,0.000208807842269972,0.00853652334287768,0.0070375295489511,"FKBP1A/SMURF2/TGFBR2/ITGB1/FURIN/CBL/ITGB8/LTBP1/LTBP3/ITGB3/ITGAV/TGFBR3/ITGB5/BAMBI/NEDD4L/SMAD2/SMAD7/SMAD3",18,2.06871896776859,"Healthy"
"REACTOME_NEGATIVE_REGULATION_OF_THE_PI3K_AKT_NETWORK","REACTOME_NEGATIVE_REGULATION_OF_THE_PI3K_AKT_NETWORK","33/1608","108/9710",0.305555555555556,1.8451147042565,3.93442108078764,0.000211125886468533,0.00853652334287768,0.0070375295489511,"AREG/FGF9/FGF19/PDGFB/IER3/TGFA/IRS2/IL1RAP/KITLG/EREG/EGFR/RAC2/PIK3AP1/MET/BDNF/NRG1/GAB2/PIK3R1/PDGFA/PPP2R5B/PPP2R5A/MAPK1/GAB1/INSR/FGFR3/PIP5K1A/PIP4K2C/PIK3CD/FGF18/FYN/PIK3CB/FGFR4/LCK",33,2.06871896776859,"Healthy"
"REACTOME_SYNDECAN_INTERACTIONS","REACTOME_SYNDECAN_INTERACTIONS","12/1608","25/9710",0.48,2.89850746268657,4.23415403991009,0.000254746037581972,0.00961125925012071,0.00792354431172359,"FN1/ITGB4/ITGA6/SDC4/THBS1/ITGB1/PRKCA/CASK/ITGB3/SDC3/ITGAV/ITGB5",12,2.01721970811176,"Healthy"
"REACTOME_RHO_GTPASE_CYCLE","REACTOME_RHO_GTPASE_CYCLE","101/1608","441/9710",0.229024943310658,1.38298022359856,3.66702064791564,0.000263770960366696,0.00961125925012071,0.00792354431172359,"EPHA2/TIAM1/ARHGAP29/ARHGAP42/DSG2/JAG1/PKP4/ARHGAP27/PLD1/ARHGEF3/ITGB1/DSP/ABI2/RAC2/SPATA13/NGEF/CAV1/PRAG1/SWAP70/VIM/SRGAP1/ROCK2/SOWAHC/TNFAIP1/CDC42BPA/FERMT2/ADD3/ARHGEF28/IQGAP2/AMIGO2/RHOF/DOCK1/PIK3R1/CYFIP2/PLEKHG1/PDE5A/VAMP3/TPM4/CPD/TMEM59/ARFGAP3/ARHGEF10/ARAP2/CDC42EP3/RND3/SRGAP3/ARHGAP31/NHS/RHOU/VANGL1/IQGAP1/SRGAP2/SPTBN1/PREX1/PLXND1/DOCK9/WASF2/ARHGEF6/IL32/CAVIN1/USP9X/FAM91A1/DAAM1/ALS2/SPTAN1/CDC42EP4/MOSPD2/DOCK4/TRIO/PICALM/ARHGEF40/GOPC/ARHGEF9/FNBP1/ARHGAP24/TEX2/NCK2/RAB7A/MSI2/PEAK1/WIPF3/TRIP10/ACTG1/CPNE8/ARHGAP12/GRB7/CDC42/RHOQ/RHOA/TIAM2/LMAN1/PTK2B/ESYT1/CKAP4/FMNL2/CLTC/ARHGEF17/PAK5/LCK/OBSCN/SYDE2",101,2.01721970811176,"Healthy"
"REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS","REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS","26/1608","79/9710",0.329113924050633,1.98737326028087,3.92548542467339,0.000264861342977218,0.00961125925012071,0.00792354431172359,"FN1/HSPG2/ITGA6/ITGA3/COL9A3/COL13A1/THBS1/CD44/ITGB1/COL6A1/ICAM1/ITGA9/ICAM5/ITGB8/ITGA7/ITGB3/COL6A2/ITGA5/ITGAV/ITGB5/CD47/COL18A1/CDH1/ITGAX/COL4A5/ITGA10",26,2.01721970811176,"Healthy"
"REACTOME_SIGNALING_BY_SCF_KIT","REACTOME_SIGNALING_BY_SCF_KIT","17/1608","43/9710",0.395348837209302,2.38733657294921,4.06166739905843,0.000269400506598602,0.00961125925012071,0.00792354431172359,"STAT3/SH2B3/KITLG/PRKCA/CBL/NRAS/GAB2/PIK3R1/STAT1/GRB10/KRAS/SOCS6/FYN/FER/GRB7/LCK/JAK2",17,2.01721970811176,"Healthy"
"REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE","REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE","18/1608","47/9710",0.382978723404255,2.3126389329946,4.01857773642282,0.000286637828725078,0.00993404817838626,0.00818965224928793,"MAOA/SYT1/SLC1A1/APBA1/STXBP1/GLS/CASK/SLC38A2/SLC1A2/GAD1/ABAT/RAB3A/PPFIA4/LIN7A/SYN2/SNAP25/ARL6IP5/STX1A",18,2.00287373808384,"Healthy"
"REACTOME_KIDNEY_DEVELOPMENT","REACTOME_KIDNEY_DEVELOPMENT","16/1608","40/9710",0.4,2.41542288557214,3.99610715508582,0.000346808914965111,0.0110271917647656,0.00909084234523133,"BMP4/FOXC1/HOXB4/JAG1/RET/ITGB1/HNF4A/PCDH19/CTNNB1/HNF1B/WNT11/NPNT/SLIT2/DLL1/SIX2/SIX1",16,1.95753507290411,"Healthy"
"REACTOME_RHOU_GTPASE_CYCLE","REACTOME_RHOU_GTPASE_CYCLE","16/1608","40/9710",0.4,2.41542288557214,3.99610715508582,0.000346808914965111,0.0110271917647656,0.00909084234523133,"EPHA2/PIK3R1/ARHGAP31/RHOU/VANGL1/IQGAP1/SRGAP2/SPTBN1/ARHGEF6/USP9X/SPTAN1/NCK2/PEAK1/CDC42/PTK2B/CLTC",16,1.95753507290411,"Healthy"
"REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER","REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER","25/1608","76/9710",0.328947368421053,1.98636750458235,3.84570869934486,0.000348231444058042,0.0110271917647656,0.00909084234523133,"AREG/FGF9/FGF19/PDGFB/TGFA/IRS2/KITLG/EREG/EGFR/RAC2/PIK3AP1/MET/BDNF/NRG1/GAB2/PIK3R1/PDGFA/GAB1/FGFR3/PIK3CD/FGF18/FYN/PIK3CB/FGFR4/LCK",25,1.95753507290411,"Healthy"
